26
epoch [1/500], loss:2.1626 Accuracy: 9952/50000
epoch [2/500], loss:1.8595 Accuracy: 16610/50000
epoch [3/500], loss:1.7624 Accuracy: 18234/50000
epoch [4/500], loss:1.7036 Accuracy: 19184/50000
epoch [5/500], loss:1.6604 Accuracy: 19923/50000
epoch [6/500], loss:1.6250 Accuracy: 20575/50000
epoch [7/500], loss:1.5964 Accuracy: 21097/50000
epoch [8/500], loss:1.5727 Accuracy: 21542/50000
epoch [9/500], loss:1.5518 Accuracy: 22025/50000
epoch [10/500], loss:1.5339 Accuracy: 22299/50000
epoch [11/500], loss:1.5174 Accuracy: 22663/50000
epoch [12/500], loss:1.5032 Accuracy: 22958/50000
epoch [13/500], loss:1.4901 Accuracy: 23294/50000
epoch [14/500], loss:1.4769 Accuracy: 23417/50000
epoch [15/500], loss:1.4654 Accuracy: 23641/50000
epoch [16/500], loss:1.4553 Accuracy: 23887/50000
epoch [17/500], loss:1.4461 Accuracy: 24068/50000
epoch [18/500], loss:1.4352 Accuracy: 24307/50000
epoch [19/500], loss:1.4254 Accuracy: 24539/50000
epoch [20/500], loss:1.4156 Accuracy: 24748/50000
epoch [21/500], loss:1.4059 Accuracy: 24851/50000
epoch [22/500], loss:1.3983 Accuracy: 24980/50000
epoch [23/500], loss:1.3892 Accuracy: 25209/50000
epoch [24/500], loss:1.3804 Accuracy: 25312/50000
epoch [25/500], loss:1.3724 Accuracy: 25519/50000
epoch [26/500], loss:1.3645 Accuracy: 25705/50000
epoch [27/500], loss:1.3572 Accuracy: 25774/50000
epoch [28/500], loss:1.3495 Accuracy: 25932/50000
epoch [29/500], loss:1.3421 Accuracy: 26085/50000
epoch [30/500], loss:1.3363 Accuracy: 26230/50000
epoch [31/500], loss:1.3293 Accuracy: 26315/50000
epoch [32/500], loss:1.3233 Accuracy: 26458/50000
epoch [33/500], loss:1.3177 Accuracy: 26578/50000
epoch [34/500], loss:1.3114 Accuracy: 26717/50000
epoch [35/500], loss:1.3056 Accuracy: 26825/50000
epoch [36/500], loss:1.3004 Accuracy: 26909/50000
epoch [37/500], loss:1.2952 Accuracy: 26960/50000
epoch [38/500], loss:1.2893 Accuracy: 27076/50000
epoch [39/500], loss:1.2837 Accuracy: 27256/50000
epoch [40/500], loss:1.2786 Accuracy: 27304/50000
epoch [41/500], loss:1.2749 Accuracy: 27324/50000
epoch [42/500], loss:1.2697 Accuracy: 27534/50000
epoch [43/500], loss:1.2654 Accuracy: 27518/50000
epoch [44/500], loss:1.2608 Accuracy: 27633/50000
epoch [45/500], loss:1.2562 Accuracy: 27740/50000
epoch [46/500], loss:1.2519 Accuracy: 27780/50000
epoch [47/500], loss:1.2477 Accuracy: 27876/50000
epoch [48/500], loss:1.2435 Accuracy: 27940/50000
epoch [49/500], loss:1.2401 Accuracy: 28021/50000
epoch [50/500], loss:1.2351 Accuracy: 28171/50000
epoch [51/500], loss:1.2316 Accuracy: 28234/50000
epoch [52/500], loss:1.2283 Accuracy: 28354/50000
epoch [53/500], loss:1.2236 Accuracy: 28444/50000
epoch [54/500], loss:1.2215 Accuracy: 28427/50000
epoch [55/500], loss:1.2181 Accuracy: 28539/50000
epoch [56/500], loss:1.2138 Accuracy: 28562/50000
epoch [57/500], loss:1.2104 Accuracy: 28613/50000
epoch [58/500], loss:1.2073 Accuracy: 28704/50000
epoch [59/500], loss:1.2052 Accuracy: 28753/50000
epoch [60/500], loss:1.2014 Accuracy: 28838/50000
epoch [61/500], loss:1.1980 Accuracy: 28958/50000
epoch [62/500], loss:1.1947 Accuracy: 28953/50000
epoch [63/500], loss:1.1916 Accuracy: 29055/50000
epoch [64/500], loss:1.1896 Accuracy: 29117/50000
epoch [65/500], loss:1.1865 Accuracy: 29167/50000
epoch [66/500], loss:1.1835 Accuracy: 29253/50000
epoch [67/500], loss:1.1805 Accuracy: 29252/50000
epoch [68/500], loss:1.1779 Accuracy: 29330/50000
epoch [69/500], loss:1.1754 Accuracy: 29367/50000
epoch [70/500], loss:1.1724 Accuracy: 29422/50000
epoch [71/500], loss:1.1700 Accuracy: 29476/50000
epoch [72/500], loss:1.1685 Accuracy: 29499/50000
epoch [73/500], loss:1.1657 Accuracy: 29555/50000
epoch [74/500], loss:1.1627 Accuracy: 29670/50000
epoch [75/500], loss:1.1603 Accuracy: 29613/50000
epoch [76/500], loss:1.1580 Accuracy: 29703/50000
epoch [77/500], loss:1.1569 Accuracy: 29770/50000
epoch [78/500], loss:1.1533 Accuracy: 29875/50000
epoch [79/500], loss:1.1511 Accuracy: 29862/50000
epoch [80/500], loss:1.1499 Accuracy: 29884/50000
epoch [81/500], loss:1.1467 Accuracy: 29933/50000
epoch [82/500], loss:1.1451 Accuracy: 29978/50000
epoch [83/500], loss:1.1429 Accuracy: 30050/50000
epoch [84/500], loss:1.1404 Accuracy: 30015/50000
epoch [85/500], loss:1.1386 Accuracy: 30049/50000
epoch [86/500], loss:1.1382 Accuracy: 30106/50000
epoch [87/500], loss:1.1341 Accuracy: 30198/50000
epoch [88/500], loss:1.1318 Accuracy: 30204/50000
epoch [89/500], loss:1.1304 Accuracy: 30311/50000
epoch [90/500], loss:1.1277 Accuracy: 30310/50000
epoch [91/500], loss:1.1258 Accuracy: 30341/50000
epoch [92/500], loss:1.1240 Accuracy: 30401/50000
epoch [93/500], loss:1.1222 Accuracy: 30455/50000
epoch [94/500], loss:1.1209 Accuracy: 30424/50000
epoch [95/500], loss:1.1181 Accuracy: 30386/50000
epoch [96/500], loss:1.1159 Accuracy: 30450/50000
epoch [97/500], loss:1.1153 Accuracy: 30613/50000
epoch [98/500], loss:1.1131 Accuracy: 30510/50000
epoch [99/500], loss:1.1117 Accuracy: 30615/50000
epoch [100/500], loss:1.1091 Accuracy: 30672/50000
epoch [101/500], loss:1.1079 Accuracy: 30668/50000
epoch [102/500], loss:1.1057 Accuracy: 30752/50000
epoch [103/500], loss:1.1043 Accuracy: 30730/50000
epoch [104/500], loss:1.1025 Accuracy: 30823/50000
epoch [105/500], loss:1.1011 Accuracy: 30823/50000
epoch [106/500], loss:1.0983 Accuracy: 30888/50000
epoch [107/500], loss:1.0967 Accuracy: 30917/50000
epoch [108/500], loss:1.0957 Accuracy: 30941/50000
epoch [109/500], loss:1.0940 Accuracy: 30967/50000
epoch [110/500], loss:1.0927 Accuracy: 31009/50000
epoch [111/500], loss:1.0901 Accuracy: 30998/50000
epoch [112/500], loss:1.0897 Accuracy: 31090/50000
epoch [113/500], loss:1.0869 Accuracy: 31018/50000
epoch [114/500], loss:1.0865 Accuracy: 31126/50000
epoch [115/500], loss:1.0840 Accuracy: 31082/50000
epoch [116/500], loss:1.0824 Accuracy: 31081/50000
epoch [117/500], loss:1.0814 Accuracy: 31180/50000
epoch [118/500], loss:1.0795 Accuracy: 31175/50000
epoch [119/500], loss:1.0782 Accuracy: 31144/50000
epoch [120/500], loss:1.0769 Accuracy: 31250/50000
epoch [121/500], loss:1.0749 Accuracy: 31307/50000
epoch [122/500], loss:1.0740 Accuracy: 31266/50000
epoch [123/500], loss:1.0729 Accuracy: 31333/50000
epoch [124/500], loss:1.0717 Accuracy: 31375/50000
epoch [125/500], loss:1.0694 Accuracy: 31433/50000
epoch [126/500], loss:1.0686 Accuracy: 31456/50000
epoch [127/500], loss:1.0673 Accuracy: 31457/50000
epoch [128/500], loss:1.0664 Accuracy: 31424/50000
