6
epoch [1/500], loss:2.1759 Accuracy: 9922/50000
epoch [2/500], loss:1.9077 Accuracy: 15866/50000
epoch [3/500], loss:1.8068 Accuracy: 17554/50000
epoch [4/500], loss:1.7313 Accuracy: 18724/50000
epoch [5/500], loss:1.6698 Accuracy: 19726/50000
epoch [6/500], loss:1.6259 Accuracy: 20505/50000
epoch [7/500], loss:1.5931 Accuracy: 21125/50000
epoch [8/500], loss:1.5684 Accuracy: 21650/50000
epoch [9/500], loss:1.5471 Accuracy: 22022/50000
epoch [10/500], loss:1.5290 Accuracy: 22417/50000
epoch [11/500], loss:1.5121 Accuracy: 22705/50000
epoch [12/500], loss:1.4975 Accuracy: 22984/50000
epoch [13/500], loss:1.4834 Accuracy: 23391/50000
epoch [14/500], loss:1.4700 Accuracy: 23517/50000
epoch [15/500], loss:1.4578 Accuracy: 23774/50000
epoch [16/500], loss:1.4461 Accuracy: 24029/50000
epoch [17/500], loss:1.4349 Accuracy: 24259/50000
epoch [18/500], loss:1.4237 Accuracy: 24418/50000
epoch [19/500], loss:1.4124 Accuracy: 24648/50000
epoch [20/500], loss:1.4027 Accuracy: 24820/50000
epoch [21/500], loss:1.3936 Accuracy: 24950/50000
epoch [22/500], loss:1.3843 Accuracy: 25171/50000
epoch [23/500], loss:1.3755 Accuracy: 25307/50000
epoch [24/500], loss:1.3665 Accuracy: 25612/50000
epoch [25/500], loss:1.3601 Accuracy: 25655/50000
epoch [26/500], loss:1.3510 Accuracy: 25885/50000
epoch [27/500], loss:1.3434 Accuracy: 26016/50000
epoch [28/500], loss:1.3369 Accuracy: 26144/50000
epoch [29/500], loss:1.3305 Accuracy: 26300/50000
epoch [30/500], loss:1.3246 Accuracy: 26372/50000
epoch [31/500], loss:1.3164 Accuracy: 26610/50000
epoch [32/500], loss:1.3110 Accuracy: 26646/50000
epoch [33/500], loss:1.3053 Accuracy: 26815/50000
epoch [34/500], loss:1.2993 Accuracy: 26895/50000
epoch [35/500], loss:1.2939 Accuracy: 26974/50000
epoch [36/500], loss:1.2875 Accuracy: 27118/50000
epoch [37/500], loss:1.2823 Accuracy: 27150/50000
epoch [38/500], loss:1.2775 Accuracy: 27308/50000
epoch [39/500], loss:1.2728 Accuracy: 27348/50000
epoch [40/500], loss:1.2676 Accuracy: 27542/50000
epoch [41/500], loss:1.2632 Accuracy: 27507/50000
epoch [42/500], loss:1.2575 Accuracy: 27730/50000
epoch [43/500], loss:1.2529 Accuracy: 27782/50000
epoch [44/500], loss:1.2477 Accuracy: 27897/50000
epoch [45/500], loss:1.2455 Accuracy: 27952/50000
epoch [46/500], loss:1.2398 Accuracy: 27993/50000
epoch [47/500], loss:1.2367 Accuracy: 28069/50000
epoch [48/500], loss:1.2317 Accuracy: 28153/50000
epoch [49/500], loss:1.2261 Accuracy: 28232/50000
epoch [50/500], loss:1.2222 Accuracy: 28312/50000
epoch [51/500], loss:1.2183 Accuracy: 28415/50000
epoch [52/500], loss:1.2142 Accuracy: 28526/50000
epoch [53/500], loss:1.2113 Accuracy: 28535/50000
epoch [54/500], loss:1.2065 Accuracy: 28627/50000
epoch [55/500], loss:1.2029 Accuracy: 28723/50000
epoch [56/500], loss:1.1984 Accuracy: 28898/50000
epoch [57/500], loss:1.1948 Accuracy: 28889/50000
epoch [58/500], loss:1.1914 Accuracy: 28924/50000
epoch [59/500], loss:1.1877 Accuracy: 29070/50000
epoch [60/500], loss:1.1835 Accuracy: 29099/50000
epoch [61/500], loss:1.1802 Accuracy: 29160/50000
epoch [62/500], loss:1.1786 Accuracy: 29145/50000
epoch [63/500], loss:1.1743 Accuracy: 29286/50000
epoch [64/500], loss:1.1706 Accuracy: 29360/50000
epoch [65/500], loss:1.1672 Accuracy: 29402/50000
epoch [66/500], loss:1.1641 Accuracy: 29544/50000
epoch [67/500], loss:1.1613 Accuracy: 29543/50000
epoch [68/500], loss:1.1576 Accuracy: 29620/50000
epoch [69/500], loss:1.1551 Accuracy: 29640/50000
epoch [70/500], loss:1.1528 Accuracy: 29670/50000
epoch [71/500], loss:1.1495 Accuracy: 29702/50000
epoch [72/500], loss:1.1466 Accuracy: 29819/50000
epoch [73/500], loss:1.1435 Accuracy: 29796/50000
epoch [74/500], loss:1.1416 Accuracy: 29862/50000
epoch [75/500], loss:1.1393 Accuracy: 29915/50000
epoch [76/500], loss:1.1363 Accuracy: 29975/50000
epoch [77/500], loss:1.1340 Accuracy: 29984/50000
epoch [78/500], loss:1.1314 Accuracy: 30113/50000
epoch [79/500], loss:1.1288 Accuracy: 30143/50000
epoch [80/500], loss:1.1262 Accuracy: 30155/50000
epoch [81/500], loss:1.1233 Accuracy: 30295/50000
epoch [82/500], loss:1.1221 Accuracy: 30259/50000
epoch [83/500], loss:1.1199 Accuracy: 30333/50000
epoch [84/500], loss:1.1178 Accuracy: 30333/50000
epoch [85/500], loss:1.1157 Accuracy: 30403/50000
epoch [86/500], loss:1.1127 Accuracy: 30464/50000
epoch [87/500], loss:1.1104 Accuracy: 30440/50000
epoch [88/500], loss:1.1081 Accuracy: 30472/50000
epoch [89/500], loss:1.1080 Accuracy: 30555/50000
epoch [90/500], loss:1.1052 Accuracy: 30566/50000
epoch [91/500], loss:1.1025 Accuracy: 30647/50000
epoch [92/500], loss:1.1010 Accuracy: 30643/50000
