16
epoch [1/500], loss:2.1769 Accuracy: 9668/50000
epoch [2/500], loss:1.9219 Accuracy: 15187/50000
epoch [3/500], loss:1.8128 Accuracy: 17268/50000
epoch [4/500], loss:1.7384 Accuracy: 18614/50000
epoch [5/500], loss:1.6817 Accuracy: 19666/50000
epoch [6/500], loss:1.6366 Accuracy: 20369/50000
epoch [7/500], loss:1.6005 Accuracy: 21091/50000
epoch [8/500], loss:1.5721 Accuracy: 21529/50000
epoch [9/500], loss:1.5488 Accuracy: 22020/50000
epoch [10/500], loss:1.5295 Accuracy: 22327/50000
epoch [11/500], loss:1.5114 Accuracy: 22672/50000
epoch [12/500], loss:1.4964 Accuracy: 22861/50000
epoch [13/500], loss:1.4826 Accuracy: 23195/50000
epoch [14/500], loss:1.4700 Accuracy: 23349/50000
epoch [15/500], loss:1.4579 Accuracy: 23645/50000
epoch [16/500], loss:1.4463 Accuracy: 23911/50000
epoch [17/500], loss:1.4359 Accuracy: 24108/50000
epoch [18/500], loss:1.4256 Accuracy: 24283/50000
epoch [19/500], loss:1.4163 Accuracy: 24554/50000
epoch [20/500], loss:1.4064 Accuracy: 24736/50000
epoch [21/500], loss:1.3975 Accuracy: 24997/50000
epoch [22/500], loss:1.3882 Accuracy: 25133/50000
epoch [23/500], loss:1.3799 Accuracy: 25310/50000
epoch [24/500], loss:1.3734 Accuracy: 25472/50000
epoch [25/500], loss:1.3643 Accuracy: 25590/50000
epoch [26/500], loss:1.3577 Accuracy: 25719/50000
epoch [27/500], loss:1.3500 Accuracy: 25922/50000
epoch [28/500], loss:1.3435 Accuracy: 26062/50000
epoch [29/500], loss:1.3366 Accuracy: 26186/50000
epoch [30/500], loss:1.3298 Accuracy: 26373/50000
epoch [31/500], loss:1.3227 Accuracy: 26448/50000
epoch [32/500], loss:1.3178 Accuracy: 26559/50000
epoch [33/500], loss:1.3116 Accuracy: 26634/50000
epoch [34/500], loss:1.3050 Accuracy: 26775/50000
epoch [35/500], loss:1.2989 Accuracy: 26919/50000
epoch [36/500], loss:1.2942 Accuracy: 26950/50000
epoch [37/500], loss:1.2874 Accuracy: 27131/50000
epoch [38/500], loss:1.2827 Accuracy: 27192/50000
epoch [39/500], loss:1.2778 Accuracy: 27334/50000
epoch [40/500], loss:1.2725 Accuracy: 27404/50000
epoch [41/500], loss:1.2678 Accuracy: 27499/50000
epoch [42/500], loss:1.2620 Accuracy: 27581/50000
epoch [43/500], loss:1.2573 Accuracy: 27660/50000
epoch [44/500], loss:1.2531 Accuracy: 27737/50000
epoch [45/500], loss:1.2481 Accuracy: 27827/50000
epoch [46/500], loss:1.2442 Accuracy: 27922/50000
epoch [47/500], loss:1.2396 Accuracy: 28003/50000
epoch [48/500], loss:1.2352 Accuracy: 28053/50000
epoch [49/500], loss:1.2304 Accuracy: 28194/50000
epoch [50/500], loss:1.2277 Accuracy: 28192/50000
epoch [51/500], loss:1.2227 Accuracy: 28346/50000
epoch [52/500], loss:1.2193 Accuracy: 28403/50000
epoch [53/500], loss:1.2154 Accuracy: 28408/50000
epoch [54/500], loss:1.2114 Accuracy: 28532/50000
epoch [55/500], loss:1.2081 Accuracy: 28642/50000
epoch [56/500], loss:1.2043 Accuracy: 28699/50000
epoch [57/500], loss:1.2015 Accuracy: 28736/50000
epoch [58/500], loss:1.1983 Accuracy: 28767/50000
epoch [59/500], loss:1.1943 Accuracy: 28865/50000
epoch [60/500], loss:1.1912 Accuracy: 28859/50000
epoch [61/500], loss:1.1889 Accuracy: 28945/50000
epoch [62/500], loss:1.1860 Accuracy: 29011/50000
epoch [63/500], loss:1.1820 Accuracy: 29096/50000
epoch [64/500], loss:1.1795 Accuracy: 29145/50000
epoch [65/500], loss:1.1762 Accuracy: 29178/50000
epoch [66/500], loss:1.1732 Accuracy: 29320/50000
epoch [67/500], loss:1.1710 Accuracy: 29302/50000
epoch [68/500], loss:1.1676 Accuracy: 29417/50000
epoch [69/500], loss:1.1656 Accuracy: 29394/50000
epoch [70/500], loss:1.1637 Accuracy: 29484/50000
epoch [71/500], loss:1.1600 Accuracy: 29521/50000
epoch [72/500], loss:1.1588 Accuracy: 29473/50000
epoch [73/500], loss:1.1549 Accuracy: 29622/50000
epoch [74/500], loss:1.1523 Accuracy: 29700/50000
epoch [75/500], loss:1.1503 Accuracy: 29630/50000
epoch [76/500], loss:1.1481 Accuracy: 29723/50000
epoch [77/500], loss:1.1454 Accuracy: 29778/50000
epoch [78/500], loss:1.1431 Accuracy: 29837/50000
epoch [79/500], loss:1.1410 Accuracy: 29857/50000
epoch [80/500], loss:1.1388 Accuracy: 29893/50000
epoch [81/500], loss:1.1372 Accuracy: 29978/50000
epoch [82/500], loss:1.1353 Accuracy: 29943/50000
epoch [83/500], loss:1.1329 Accuracy: 30023/50000
epoch [84/500], loss:1.1310 Accuracy: 30005/50000
epoch [85/500], loss:1.1289 Accuracy: 30059/50000
epoch [86/500], loss:1.1268 Accuracy: 30099/50000
epoch [87/500], loss:1.1247 Accuracy: 30187/50000
epoch [88/500], loss:1.1231 Accuracy: 30219/50000
epoch [89/500], loss:1.1208 Accuracy: 30270/50000
epoch [90/500], loss:1.1191 Accuracy: 30309/50000
epoch [91/500], loss:1.1167 Accuracy: 30318/50000
epoch [92/500], loss:1.1149 Accuracy: 30319/50000
epoch [93/500], loss:1.1128 Accuracy: 30399/50000
epoch [94/500], loss:1.1119 Accuracy: 30447/50000
epoch [95/500], loss:1.1102 Accuracy: 30477/50000
epoch [96/500], loss:1.1076 Accuracy: 30504/50000
epoch [97/500], loss:1.1064 Accuracy: 30533/50000
epoch [98/500], loss:1.1052 Accuracy: 30588/50000
epoch [99/500], loss:1.1031 Accuracy: 30609/50000
epoch [100/500], loss:1.1008 Accuracy: 30629/50000
epoch [101/500], loss:1.0994 Accuracy: 30703/50000
epoch [102/500], loss:1.0978 Accuracy: 30682/50000
epoch [103/500], loss:1.0964 Accuracy: 30693/50000
epoch [104/500], loss:1.0948 Accuracy: 30819/50000
epoch [105/500], loss:1.0931 Accuracy: 30787/50000
epoch [106/500], loss:1.0911 Accuracy: 30823/50000
epoch [107/500], loss:1.0900 Accuracy: 30868/50000
epoch [108/500], loss:1.0883 Accuracy: 30835/50000
epoch [109/500], loss:1.0871 Accuracy: 30888/50000
epoch [110/500], loss:1.0847 Accuracy: 30958/50000
epoch [111/500], loss:1.0828 Accuracy: 30995/50000
epoch [112/500], loss:1.0815 Accuracy: 31041/50000
epoch [113/500], loss:1.0802 Accuracy: 31029/50000
epoch [114/500], loss:1.0785 Accuracy: 31028/50000
epoch [115/500], loss:1.0770 Accuracy: 31087/50000
epoch [116/500], loss:1.0752 Accuracy: 31111/50000
epoch [117/500], loss:1.0732 Accuracy: 31186/50000
epoch [118/500], loss:1.0723 Accuracy: 31213/50000
epoch [119/500], loss:1.0707 Accuracy: 31193/50000
epoch [120/500], loss:1.0690 Accuracy: 31203/50000
epoch [121/500], loss:1.0675 Accuracy: 31256/50000
epoch [122/500], loss:1.0672 Accuracy: 31218/50000
epoch [123/500], loss:1.0653 Accuracy: 31310/50000
epoch [124/500], loss:1.0639 Accuracy: 31375/50000
epoch [125/500], loss:1.0617 Accuracy: 31387/50000
epoch [126/500], loss:1.0604 Accuracy: 31357/50000
epoch [127/500], loss:1.0588 Accuracy: 31390/50000
epoch [128/500], loss:1.0575 Accuracy: 31435/50000
epoch [129/500], loss:1.0563 Accuracy: 31445/50000
epoch [130/500], loss:1.0548 Accuracy: 31481/50000
epoch [131/500], loss:1.0540 Accuracy: 31464/50000
epoch [132/500], loss:1.0519 Accuracy: 31610/50000
epoch [133/500], loss:1.0508 Accuracy: 31564/50000
epoch [134/500], loss:1.0497 Accuracy: 31597/50000
epoch [135/500], loss:1.0475 Accuracy: 31575/50000
epoch [136/500], loss:1.0461 Accuracy: 31671/50000
epoch [137/500], loss:1.0449 Accuracy: 31688/50000
epoch [138/500], loss:1.0432 Accuracy: 31771/50000
epoch [139/500], loss:1.0418 Accuracy: 31746/50000
epoch [140/500], loss:1.0413 Accuracy: 31751/50000
epoch [141/500], loss:1.0393 Accuracy: 31810/50000
epoch [142/500], loss:1.0380 Accuracy: 31839/50000
epoch [143/500], loss:1.0376 Accuracy: 31856/50000
epoch [144/500], loss:1.0363 Accuracy: 31866/50000
epoch [145/500], loss:1.0339 Accuracy: 31880/50000
epoch [146/500], loss:1.0337 Accuracy: 31907/50000
epoch [147/500], loss:1.0325 Accuracy: 31949/50000
epoch [148/500], loss:1.0299 Accuracy: 31953/50000
epoch [149/500], loss:1.0291 Accuracy: 32038/50000
epoch [150/500], loss:1.0284 Accuracy: 32016/50000
epoch [151/500], loss:1.0268 Accuracy: 32033/50000
epoch [152/500], loss:1.0263 Accuracy: 32059/50000
epoch [153/500], loss:1.0249 Accuracy: 32114/50000
epoch [154/500], loss:1.0243 Accuracy: 32134/50000
epoch [155/500], loss:1.0226 Accuracy: 32106/50000
epoch [156/500], loss:1.0213 Accuracy: 32162/50000
epoch [157/500], loss:1.0199 Accuracy: 32205/50000
epoch [158/500], loss:1.0181 Accuracy: 32163/50000
epoch [159/500], loss:1.0185 Accuracy: 32175/50000
epoch [160/500], loss:1.0177 Accuracy: 32197/50000
epoch [161/500], loss:1.0153 Accuracy: 32277/50000
epoch [162/500], loss:1.0142 Accuracy: 32309/50000
epoch [163/500], loss:1.0132 Accuracy: 32289/50000
epoch [164/500], loss:1.0117 Accuracy: 32325/50000
epoch [165/500], loss:1.0118 Accuracy: 32353/50000
epoch [166/500], loss:1.0104 Accuracy: 32375/50000
epoch [167/500], loss:1.0094 Accuracy: 32433/50000
epoch [168/500], loss:1.0087 Accuracy: 32414/50000
epoch [169/500], loss:1.0072 Accuracy: 32461/50000
epoch [170/500], loss:1.0057 Accuracy: 32446/50000
epoch [171/500], loss:1.0051 Accuracy: 32527/50000
