11
epoch [111/500], loss:1.0477 Accuracy: 31674/50000
epoch [112/500], loss:1.0472 Accuracy: 31723/50000
epoch [113/500], loss:1.0440 Accuracy: 31750/50000
epoch [114/500], loss:1.0420 Accuracy: 31809/50000
epoch [115/500], loss:1.0403 Accuracy: 31814/50000
epoch [116/500], loss:1.0388 Accuracy: 31855/50000
epoch [117/500], loss:1.0379 Accuracy: 31856/50000
epoch [118/500], loss:1.0352 Accuracy: 31867/50000
epoch [119/500], loss:1.0335 Accuracy: 31902/50000
epoch [120/500], loss:1.0321 Accuracy: 31981/50000
epoch [121/500], loss:1.0300 Accuracy: 31922/50000
epoch [122/500], loss:1.0282 Accuracy: 32006/50000
epoch [123/500], loss:1.0272 Accuracy: 32041/50000
epoch [124/500], loss:1.0249 Accuracy: 32072/50000
epoch [125/500], loss:1.0231 Accuracy: 32063/50000
epoch [126/500], loss:1.0220 Accuracy: 32131/50000
epoch [127/500], loss:1.0207 Accuracy: 32094/50000
epoch [128/500], loss:1.0189 Accuracy: 32184/50000
epoch [129/500], loss:1.0170 Accuracy: 32226/50000
epoch [130/500], loss:1.0161 Accuracy: 32199/50000
epoch [131/500], loss:1.0141 Accuracy: 32249/50000
epoch [132/500], loss:1.0130 Accuracy: 32258/50000
epoch [133/500], loss:1.0114 Accuracy: 32329/50000
epoch [134/500], loss:1.0106 Accuracy: 32329/50000
epoch [135/500], loss:1.0078 Accuracy: 32378/50000
epoch [136/500], loss:1.0077 Accuracy: 32409/50000
epoch [137/500], loss:1.0054 Accuracy: 32475/50000
epoch [138/500], loss:1.0048 Accuracy: 32447/50000
epoch [139/500], loss:1.0025 Accuracy: 32499/50000
epoch [140/500], loss:1.0019 Accuracy: 32530/50000
epoch [141/500], loss:1.0005 Accuracy: 32531/50000
epoch [142/500], loss:0.9993 Accuracy: 32597/50000
epoch [143/500], loss:0.9981 Accuracy: 32551/50000
epoch [144/500], loss:0.9974 Accuracy: 32571/50000
epoch [145/500], loss:0.9949 Accuracy: 32667/50000
epoch [146/500], loss:0.9939 Accuracy: 32644/50000
epoch [147/500], loss:0.9920 Accuracy: 32712/50000
epoch [148/500], loss:0.9919 Accuracy: 32789/50000
epoch [149/500], loss:0.9901 Accuracy: 32734/50000
epoch [150/500], loss:0.9894 Accuracy: 32783/50000
epoch [151/500], loss:0.9871 Accuracy: 32829/50000
epoch [152/500], loss:0.9866 Accuracy: 32729/50000
epoch [153/500], loss:0.9857 Accuracy: 32817/50000
epoch [154/500], loss:0.9838 Accuracy: 32853/50000
epoch [155/500], loss:0.9838 Accuracy: 32789/50000
epoch [156/500], loss:0.9819 Accuracy: 32882/50000
epoch [157/500], loss:0.9816 Accuracy: 32837/50000
epoch [158/500], loss:0.9803 Accuracy: 32974/50000
epoch [159/500], loss:0.9787 Accuracy: 32938/50000
epoch [160/500], loss:0.9767 Accuracy: 32984/50000
epoch [161/500], loss:0.9763 Accuracy: 33006/50000
epoch [162/500], loss:0.9755 Accuracy: 32949/50000
epoch [163/500], loss:0.9746 Accuracy: 32996/50000
epoch [164/500], loss:0.9739 Accuracy: 33032/50000
epoch [165/500], loss:0.9730 Accuracy: 32970/50000
epoch [166/500], loss:0.9714 Accuracy: 33051/50000
epoch [167/500], loss:0.9709 Accuracy: 33113/50000
epoch [168/500], loss:0.9700 Accuracy: 33080/50000
epoch [169/500], loss:0.9690 Accuracy: 33115/50000
epoch [170/500], loss:0.9663 Accuracy: 33191/50000
epoch [171/500], loss:0.9662 Accuracy: 33161/50000
epoch [172/500], loss:0.9656 Accuracy: 33200/50000
epoch [173/500], loss:0.9658 Accuracy: 33244/50000
epoch [174/500], loss:0.9631 Accuracy: 33235/50000
epoch [175/500], loss:0.9633 Accuracy: 33196/50000
epoch [176/500], loss:0.9622 Accuracy: 33243/50000
epoch [177/500], loss:0.9611 Accuracy: 33265/50000
epoch [178/500], loss:0.9600 Accuracy: 33309/50000
epoch [179/500], loss:0.9595 Accuracy: 33316/50000
epoch [180/500], loss:0.9582 Accuracy: 33343/50000
epoch [181/500], loss:0.9569 Accuracy: 33271/50000
epoch [182/500], loss:0.9579 Accuracy: 33258/50000
epoch [183/500], loss:0.9553 Accuracy: 33413/50000
epoch [184/500], loss:0.9547 Accuracy: 33328/50000
epoch [185/500], loss:0.9542 Accuracy: 33393/50000
epoch [186/500], loss:0.9537 Accuracy: 33384/50000
epoch [187/500], loss:0.9527 Accuracy: 33422/50000
epoch [188/500], loss:0.9530 Accuracy: 33403/50000
epoch [189/500], loss:0.9507 Accuracy: 33439/50000
epoch [190/500], loss:0.9498 Accuracy: 33512/50000
epoch [191/500], loss:0.9503 Accuracy: 33450/50000
epoch [192/500], loss:0.9495 Accuracy: 33425/50000
epoch [193/500], loss:0.9484 Accuracy: 33461/50000
epoch [194/500], loss:0.9479 Accuracy: 33484/50000
