1
epoch [1/500], loss:2.1427 Accuracy: 10707/50000
epoch [2/500], loss:1.8964 Accuracy: 16280/50000
epoch [3/500], loss:1.7854 Accuracy: 17968/50000
epoch [4/500], loss:1.6939 Accuracy: 19307/50000
epoch [5/500], loss:1.6305 Accuracy: 20349/50000
epoch [6/500], loss:1.5865 Accuracy: 21136/50000
epoch [7/500], loss:1.5563 Accuracy: 21750/50000
epoch [8/500], loss:1.5327 Accuracy: 22238/50000
epoch [9/500], loss:1.5123 Accuracy: 22661/50000
epoch [10/500], loss:1.4956 Accuracy: 22976/50000
epoch [11/500], loss:1.4793 Accuracy: 23324/50000
epoch [12/500], loss:1.4647 Accuracy: 23592/50000
epoch [13/500], loss:1.4520 Accuracy: 23891/50000
epoch [14/500], loss:1.4391 Accuracy: 24179/50000
epoch [15/500], loss:1.4281 Accuracy: 24412/50000
epoch [16/500], loss:1.4175 Accuracy: 24514/50000
epoch [17/500], loss:1.4080 Accuracy: 24765/50000
epoch [18/500], loss:1.3981 Accuracy: 24908/50000
epoch [19/500], loss:1.3902 Accuracy: 25085/50000
epoch [20/500], loss:1.3810 Accuracy: 25276/50000
epoch [21/500], loss:1.3745 Accuracy: 25309/50000
epoch [22/500], loss:1.3670 Accuracy: 25548/50000
epoch [23/500], loss:1.3594 Accuracy: 25703/50000
epoch [24/500], loss:1.3534 Accuracy: 25899/50000
epoch [25/500], loss:1.3472 Accuracy: 25950/50000
epoch [26/500], loss:1.3392 Accuracy: 26048/50000
epoch [27/500], loss:1.3343 Accuracy: 26184/50000
epoch [28/500], loss:1.3284 Accuracy: 26351/50000
epoch [29/500], loss:1.3215 Accuracy: 26449/50000
epoch [30/500], loss:1.3167 Accuracy: 26534/50000
epoch [31/500], loss:1.3109 Accuracy: 26629/50000
epoch [32/500], loss:1.3064 Accuracy: 26782/50000
epoch [33/500], loss:1.3008 Accuracy: 26815/50000
epoch [34/500], loss:1.2954 Accuracy: 26913/50000
epoch [35/500], loss:1.2896 Accuracy: 27063/50000
epoch [36/500], loss:1.2865 Accuracy: 27170/50000
epoch [37/500], loss:1.2804 Accuracy: 27237/50000
epoch [38/500], loss:1.2760 Accuracy: 27372/50000
epoch [39/500], loss:1.2714 Accuracy: 27404/50000
epoch [40/500], loss:1.2669 Accuracy: 27481/50000
epoch [41/500], loss:1.2626 Accuracy: 27570/50000
epoch [42/500], loss:1.2571 Accuracy: 27740/50000
epoch [43/500], loss:1.2537 Accuracy: 27796/50000
epoch [44/500], loss:1.2486 Accuracy: 27895/50000
epoch [45/500], loss:1.2447 Accuracy: 27975/50000
epoch [46/500], loss:1.2415 Accuracy: 27954/50000
epoch [47/500], loss:1.2372 Accuracy: 28119/50000
epoch [48/500], loss:1.2330 Accuracy: 28130/50000
epoch [49/500], loss:1.2279 Accuracy: 28284/50000
epoch [50/500], loss:1.2246 Accuracy: 28303/50000
epoch [51/500], loss:1.2224 Accuracy: 28449/50000
epoch [52/500], loss:1.2175 Accuracy: 28526/50000
epoch [53/500], loss:1.2140 Accuracy: 28538/50000
epoch [54/500], loss:1.2112 Accuracy: 28618/50000
epoch [55/500], loss:1.2071 Accuracy: 28715/50000
epoch [56/500], loss:1.2031 Accuracy: 28752/50000
epoch [57/500], loss:1.1997 Accuracy: 28868/50000
epoch [58/500], loss:1.1965 Accuracy: 28919/50000
epoch [59/500], loss:1.1941 Accuracy: 28973/50000
epoch [60/500], loss:1.1891 Accuracy: 29024/50000
epoch [61/500], loss:1.1874 Accuracy: 29102/50000
epoch [62/500], loss:1.1840 Accuracy: 29150/50000
epoch [63/500], loss:1.1818 Accuracy: 29163/50000
epoch [64/500], loss:1.1784 Accuracy: 29230/50000
epoch [65/500], loss:1.1753 Accuracy: 29320/50000
epoch [66/500], loss:1.1729 Accuracy: 29324/50000
epoch [67/500], loss:1.1700 Accuracy: 29404/50000
epoch [68/500], loss:1.1677 Accuracy: 29475/50000
epoch [69/500], loss:1.1641 Accuracy: 29509/50000
epoch [70/500], loss:1.1618 Accuracy: 29569/50000
epoch [71/500], loss:1.1595 Accuracy: 29622/50000
epoch [72/500], loss:1.1564 Accuracy: 29683/50000
epoch [73/500], loss:1.1540 Accuracy: 29737/50000
epoch [74/500], loss:1.1522 Accuracy: 29710/50000
epoch [75/500], loss:1.1492 Accuracy: 29819/50000
epoch [76/500], loss:1.1465 Accuracy: 29834/50000
epoch [77/500], loss:1.1435 Accuracy: 29902/50000
epoch [78/500], loss:1.1416 Accuracy: 29952/50000
epoch [79/500], loss:1.1409 Accuracy: 29942/50000
epoch [80/500], loss:1.1360 Accuracy: 30070/50000
epoch [81/500], loss:1.1349 Accuracy: 30099/50000
epoch [82/500], loss:1.1321 Accuracy: 30195/50000
epoch [83/500], loss:1.1303 Accuracy: 30171/50000
epoch [84/500], loss:1.1291 Accuracy: 30219/50000
epoch [85/500], loss:1.1265 Accuracy: 30208/50000
epoch [86/500], loss:1.1248 Accuracy: 30236/50000
epoch [87/500], loss:1.1221 Accuracy: 30303/50000
epoch [88/500], loss:1.1214 Accuracy: 30362/50000
epoch [89/500], loss:1.1173 Accuracy: 30491/50000
epoch [90/500], loss:1.1171 Accuracy: 30431/50000
epoch [91/500], loss:1.1141 Accuracy: 30411/50000
epoch [92/500], loss:1.1120 Accuracy: 30497/50000
epoch [93/500], loss:1.1101 Accuracy: 30578/50000
epoch [94/500], loss:1.1102 Accuracy: 30565/50000
epoch [95/500], loss:1.1071 Accuracy: 30585/50000
epoch [96/500], loss:1.1038 Accuracy: 30676/50000
epoch [97/500], loss:1.1039 Accuracy: 30626/50000
epoch [98/500], loss:1.1015 Accuracy: 30731/50000
epoch [99/500], loss:1.0996 Accuracy: 30687/50000
epoch [100/500], loss:1.0979 Accuracy: 30752/50000
epoch [101/500], loss:1.0956 Accuracy: 30780/50000
epoch [102/500], loss:1.0944 Accuracy: 30816/50000
epoch [103/500], loss:1.0934 Accuracy: 30829/50000
epoch [104/500], loss:1.0920 Accuracy: 30861/50000
epoch [105/500], loss:1.0900 Accuracy: 30884/50000
epoch [106/500], loss:1.0884 Accuracy: 30925/50000
epoch [107/500], loss:1.0871 Accuracy: 30896/50000
epoch [108/500], loss:1.0860 Accuracy: 30965/50000
epoch [109/500], loss:1.0844 Accuracy: 31039/50000
epoch [110/500], loss:1.0829 Accuracy: 31013/50000
epoch [111/500], loss:1.0823 Accuracy: 30990/50000
epoch [112/500], loss:1.0799 Accuracy: 31029/50000
epoch [113/500], loss:1.0778 Accuracy: 31143/50000
epoch [114/500], loss:1.0751 Accuracy: 31164/50000
epoch [115/500], loss:1.0749 Accuracy: 31160/50000
epoch [116/500], loss:1.0753 Accuracy: 31202/50000
epoch [117/500], loss:1.0724 Accuracy: 31221/50000
epoch [118/500], loss:1.0709 Accuracy: 31239/50000
epoch [119/500], loss:1.0690 Accuracy: 31243/50000
epoch [120/500], loss:1.0688 Accuracy: 31279/50000
epoch [121/500], loss:1.0673 Accuracy: 31322/50000
epoch [122/500], loss:1.0656 Accuracy: 31335/50000
epoch [123/500], loss:1.0648 Accuracy: 31384/50000
epoch [124/500], loss:1.0631 Accuracy: 31379/50000
epoch [125/500], loss:1.0624 Accuracy: 31432/50000
epoch [126/500], loss:1.0603 Accuracy: 31450/50000
epoch [127/500], loss:1.0602 Accuracy: 31444/50000
epoch [128/500], loss:1.0581 Accuracy: 31472/50000
epoch [129/500], loss:1.0562 Accuracy: 31502/50000
epoch [130/500], loss:1.0559 Accuracy: 31585/50000
epoch [131/500], loss:1.0549 Accuracy: 31552/50000
epoch [132/500], loss:1.0538 Accuracy: 31560/50000
epoch [133/500], loss:1.0530 Accuracy: 31569/50000
epoch [134/500], loss:1.0508 Accuracy: 31692/50000
epoch [135/500], loss:1.0502 Accuracy: 31639/50000
epoch [136/500], loss:1.0491 Accuracy: 31684/50000
epoch [137/500], loss:1.0479 Accuracy: 31647/50000
epoch [138/500], loss:1.0466 Accuracy: 31699/50000
epoch [139/500], loss:1.0459 Accuracy: 31751/50000
epoch [140/500], loss:1.0445 Accuracy: 31732/50000
epoch [141/500], loss:1.0444 Accuracy: 31772/50000
epoch [142/500], loss:1.0431 Accuracy: 31747/50000
epoch [143/500], loss:1.0416 Accuracy: 31774/50000
epoch [144/500], loss:1.0403 Accuracy: 31826/50000
epoch [145/500], loss:1.0398 Accuracy: 31747/50000
epoch [146/500], loss:1.0384 Accuracy: 31882/50000
epoch [147/500], loss:1.0368 Accuracy: 31867/50000
epoch [148/500], loss:1.0362 Accuracy: 31843/50000
epoch [149/500], loss:1.0354 Accuracy: 31983/50000
epoch [150/500], loss:1.0344 Accuracy: 31969/50000
epoch [151/500], loss:1.0331 Accuracy: 31996/50000
epoch [152/500], loss:1.0331 Accuracy: 31932/50000
epoch [153/500], loss:1.0312 Accuracy: 32040/50000
epoch [154/500], loss:1.0300 Accuracy: 32008/50000
epoch [155/500], loss:1.0302 Accuracy: 31943/50000
epoch [156/500], loss:1.0285 Accuracy: 32036/50000
epoch [157/500], loss:1.0280 Accuracy: 32031/50000
epoch [158/500], loss:1.0264 Accuracy: 32097/50000
epoch [159/500], loss:1.0257 Accuracy: 32071/50000
epoch [160/500], loss:1.0250 Accuracy: 32100/50000
epoch [161/500], loss:1.0227 Accuracy: 32111/50000
epoch [162/500], loss:1.0219 Accuracy: 32168/50000
epoch [163/500], loss:1.0216 Accuracy: 32188/50000
epoch [164/500], loss:1.0207 Accuracy: 32106/50000
epoch [165/500], loss:1.0193 Accuracy: 32210/50000
epoch [166/500], loss:1.0181 Accuracy: 32173/50000
epoch [167/500], loss:1.0176 Accuracy: 32196/50000
epoch [168/500], loss:1.0172 Accuracy: 32153/50000
epoch [169/500], loss:1.0166 Accuracy: 32185/50000
epoch [170/500], loss:1.0150 Accuracy: 32215/50000
epoch [171/500], loss:1.0149 Accuracy: 32283/50000
epoch [172/500], loss:1.0133 Accuracy: 32308/50000
epoch [173/500], loss:1.0131 Accuracy: 32292/50000
epoch [174/500], loss:1.0119 Accuracy: 32270/50000
epoch [175/500], loss:1.0108 Accuracy: 32341/50000
epoch [176/500], loss:1.0108 Accuracy: 32309/50000
epoch [177/500], loss:1.0103 Accuracy: 32302/50000
epoch [178/500], loss:1.0084 Accuracy: 32382/50000
epoch [179/500], loss:1.0069 Accuracy: 32413/50000
epoch [180/500], loss:1.0070 Accuracy: 32363/50000
epoch [181/500], loss:1.0060 Accuracy: 32448/50000
epoch [182/500], loss:1.0056 Accuracy: 32417/50000
epoch [183/500], loss:1.0045 Accuracy: 32429/50000
epoch [184/500], loss:1.0024 Accuracy: 32457/50000
epoch [185/500], loss:1.0037 Accuracy: 32413/50000
epoch [186/500], loss:1.0019 Accuracy: 32515/50000
epoch [187/500], loss:1.0002 Accuracy: 32534/50000
epoch [188/500], loss:1.0001 Accuracy: 32465/50000
epoch [189/500], loss:1.0000 Accuracy: 32482/50000
epoch [190/500], loss:0.9979 Accuracy: 32584/50000
