21
epoch [1/500], loss:2.2001 Accuracy: 8831/50000
epoch [2/500], loss:1.8963 Accuracy: 16366/50000
epoch [3/500], loss:1.7880 Accuracy: 18152/50000
epoch [4/500], loss:1.7114 Accuracy: 19269/50000
epoch [5/500], loss:1.6490 Accuracy: 20261/50000
epoch [6/500], loss:1.6018 Accuracy: 21083/50000
epoch [7/500], loss:1.5658 Accuracy: 21727/50000
epoch [8/500], loss:1.5367 Accuracy: 22222/50000
epoch [9/500], loss:1.5115 Accuracy: 22662/50000
epoch [10/500], loss:1.4923 Accuracy: 23079/50000
epoch [11/500], loss:1.4748 Accuracy: 23311/50000
epoch [12/500], loss:1.4603 Accuracy: 23629/50000
epoch [13/500], loss:1.4470 Accuracy: 23928/50000
epoch [14/500], loss:1.4345 Accuracy: 24250/50000
epoch [15/500], loss:1.4239 Accuracy: 24479/50000
epoch [16/500], loss:1.4139 Accuracy: 24657/50000
epoch [17/500], loss:1.4039 Accuracy: 24831/50000
epoch [18/500], loss:1.3952 Accuracy: 25027/50000
epoch [19/500], loss:1.3874 Accuracy: 25197/50000
epoch [20/500], loss:1.3783 Accuracy: 25290/50000
epoch [21/500], loss:1.3708 Accuracy: 25428/50000
epoch [22/500], loss:1.3638 Accuracy: 25524/50000
epoch [23/500], loss:1.3562 Accuracy: 25768/50000
epoch [24/500], loss:1.3497 Accuracy: 25799/50000
epoch [25/500], loss:1.3437 Accuracy: 25917/50000
epoch [26/500], loss:1.3362 Accuracy: 26101/50000
epoch [27/500], loss:1.3303 Accuracy: 26223/50000
epoch [28/500], loss:1.3248 Accuracy: 26330/50000
epoch [29/500], loss:1.3177 Accuracy: 26503/50000
epoch [30/500], loss:1.3125 Accuracy: 26587/50000
epoch [31/500], loss:1.3067 Accuracy: 26672/50000
epoch [32/500], loss:1.3006 Accuracy: 26820/50000
epoch [33/500], loss:1.2948 Accuracy: 26904/50000
epoch [34/500], loss:1.2898 Accuracy: 27066/50000
epoch [35/500], loss:1.2839 Accuracy: 27154/50000
epoch [36/500], loss:1.2783 Accuracy: 27349/50000
epoch [37/500], loss:1.2725 Accuracy: 27427/50000
epoch [38/500], loss:1.2674 Accuracy: 27477/50000
epoch [39/500], loss:1.2619 Accuracy: 27616/50000
